generation,population,fitness_score
0,"Kill, Die, Die, Leave, Join, Move, Free, Nothing, Goal, Safe",0.972
0,"Kill, Die, Move, Join, Nothing, Goal, Skip, Leave, Free, Safe",1
0,"Free, Goal, Die, Skip, Join, Safe, Nothing, Kill, Join, Move",1
0,"Free, Safe, Kill, Leave, Leave, Safe, Skip, Join, Goal, Move",1
0,"Nothing, Die, Move, Leave, Free, Skip, Goal, Safe, Nothing, Kill",1
1,"Free, Die, Move, Join, Nothing, Goal, Skip, Leave, Join, Safe",1
1,"Kill, Safe, Kill, Leave, Free, Die, Skip, Die, Goal, Move",1
1,"Nothing, Safe, Kill, Leave, Free, Die, Skip, Join, Goal, Move",1
1,"Free, Safe, Kill, Leave, Leave, Safe, Skip, Join, Goal, Move",1
1,"Free, Safe, Kill, Leave, Leave, Nothing, Skip, Die, Goal, Move",1
2,"Free, Safe, Kill, Leave, Leave, Nothing, Skip, Join, Goal, Move",1
2,"Safe, Safe, Kill, Leave, Free, Die, Skip, Goal, Free, Skip",1
2,"Nothing, Die, Move, Leave, Free, Die, Skip, Safe, Nothing, Kill",1
2,"Safe, Leave, Die, Leave, Join, Move, Free, Join, Skip, Nothing",1
2,"Safe, Leave, Kill, Move, Free, Die, Skip, Join, Skip, Move",1
3,"Kill, Nothing, Die, Kill, Goal, Move, Free, Nothing, Goal, Safe",1
3,"Nothing, Leave, Kill, Move, Free, Skip, Skip, Join, Skip, Move",1
3,"Safe, Leave, Kill, Move, Free, Die, Skip, Join, Free, Skip",1
3,"Skip, Leave, Safe, Kill, Free, Free, Join, Leave, Skip, Move",1
3,"Nothing, Safe, Move, Leave, Free, Die, Goal, Goal, Nothing, Kill",1
4,"Safe, Leave, Kill, Move, Free, Safe, Skip, Join, Skip, Move",1
4,"Kill, Nothing, Die, Kill, Goal, Die, Nothing, Nothing, Free, Safe",1
4,"Skip, Nothing, Safe, Kill, Free, Free, Join, Leave, Die, Move",1
4,"Kill, Leave, Kill, Move, Free, Die, Free, Join, Skip, Safe",1
4,"Skip, Leave, Safe, Kill, Free, Free, Join, Leave, Skip, Move",1
5,"Kill, Die, Die, Leave, Free, Die, Goal, Nothing, Nothing, Safe",1
5,"Kill, Nothing, Move, Leave, Free, Die, Free, Goal, Nothing, Safe",1
5,"Kill, Leave, Safe, Kill, Free, Free, Free, Nothing, Skip, Safe",1
5,"Nothing, Safe, Move, Leave, Free, Die, Goal, Goal, Nothing, Kill",1
5,"Free, Safe, Move, Leave, Leave, Safe, Skip, Join, Goal, Kill",1
6,"Kill, Nothing, Die, Kill, Free, Move, Join, Leave, Skip, Safe",1
6,"Skip, Die, Die, Leave, Free, Free, Goal, Leave, Skip, Safe",1
6,"Kill, Die, Die, Move, Free, Die, Goal, Join, Skip, Safe",1
6,"Skip, Leave, Safe, Kill, Free, Free, Join, Leave, Skip, Move",1
6,"Kill, Nothing, Die, Kill, Goal, Move, Free, Nothing, Goal, Safe",1
7,"Kill, Nothing, Die, Kill, Goal, Move, Free, Nothing, Goal, Safe",1
7,"Skip, Leave, Safe, Kill, Goal, Move, Free, Leave, Skip, Safe",1
7,"Free, Safe, Move, Kill, Free, Safe, Join, Join, Skip, Move",1
7,"Kill, Nothing, Move, Kill, Free, Free, Join, Goal, Skip, Safe",1
7,"Skip, Die, Die, Leave, Free, Free, Goal, Leave, Skip, Safe",1
